ticker,yf_ticker,company_name,sector_sp500,industry_sp500,current_price,market_cap,analyst_target_mean,analyst_target_median,analyst_target_low,analyst_target_high,analyst_upside_pct,analyst_count,analyst_dispersion_pct,fundamental_target_mean,fundamental_upside_pct,target_price_pe,target_price_ev_ebitda,target_price_fcf,valuation_method_count,forward_pe,sector_forward_pe,forward_eps,fcf_yield_pct,revenue_growth_pct,earnings_growth_pct,ebitda_margin_pct,net_margin_pct,roe_pct,net_debt_ebitda,return_3m_pct,return_6m_pct,return_12m_pct,volatility_12m_pct,max_drawdown_12m_pct,ml_start_price,ml_target_price_12m,ml_predicted_return_12m_pct,ml_outperform_probability_pct,ml_rank_percentile,ml_signal,ml_forecast_date,ml_maturity_date,fundamental_score,analyst_score,ml_score,quality_score,consistency_score,risk_safety_score,data_completeness_pct,final_score,sp500_rank,final_rank_percentile,final_category,qualified_strong_candidate
EXC,EXC,Exelon,Utilities,Electric Utilities,43.64,44960280576.0,48.88235,48.0,41.0,58.0,12.01,21.0,34.78,54.28,24.38,50.93,57.63,,2,14.363295,16.76,3.0383,-5.97,9.9,-0.2,32.99,10.99,9.71,6.09,-3.7,-9.91,4.39,19.25,-13.74,43.64,50.15,14.92,29.99,18.24,WEAK,2026-09-07,2027-09-07,69.64614659641006,45.41490165960664,22.939999999999998,44.53096032628847,89.54,69.58699994743544,100.0,51.34,292,42.15,Nötr,False
RF,RF,Regions Financial Corporation,Financials,Regional Banks,30.42,25915697152.0,32.9425,33.05,28.0,36.0,8.29,22.0,24.28,37.92,24.64,37.92,,,1,10.701396,13.34,2.84262,,3.4,8.5,0.0,30.84,11.87,,7.67,14.73,15.68,23.96,-18.45,30.42,36.43,19.74,49.83,46.49,NEUTRAL,2026-09-07,2027-09-07,58.26029216467463,43.72657490629963,47.82600000000001,36.866286004314176,85.95,78.69151158513183,87.5,51.33,293,41.95,Nötr,False
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks,1122.29,182345416704.0,1320.8125,1310.0,1190.0,1488.0,17.69,17.0,22.56,836.28,-25.48,857.78,855.12,795.93,3,17.451822,13.34,64.3079,4.16,30.6,19.6,40.72,24.09,12.28,0.1,12.72,18.12,3.34,27.08,-22.45,1122.29,1327.71,18.3,48.94,41.08,NEUTRAL,2026-09-07,2027-09-07,41.68178350428075,61.14216456865827,44.224000000000004,57.28010989713118,55.08,70.38441141173445,100.0,51.32,294,41.75,Nötr,False
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,52.65,9060816896.0,53.0,52.5,47.0,60.0,0.66,16.0,24.53,156.24,196.75,,121.63,190.85,2,-65.0,34.23,-0.81,14.84,-11.9,,62.74,-36.08,-4.08,7.13,4.02,6.81,-32.61,46.71,-51.61,52.65,70.23,33.39,44.25,83.37,NEUTRAL,2026-09-07,2027-09-07,92.49667994687915,26.216064864259458,67.722,35.407407407407405,1.32,30.95289319527059,93.75,51.31,295,41.55,Nötr,False
MTB,MTB,M&T Bank,Financials,Regional Banks,239.84,34636795904.0,257.25,255.0,224.0,300.0,7.26,20.0,29.54,281.02,17.17,281.02,,,1,11.384187,13.34,21.06782,,6.2,25.5,0.0,32.09,10.74,,8.52,15.5,21.92,21.52,-16.98,239.84,289.61,20.75,49.69,51.5,NEUTRAL,2026-09-07,2027-09-07,54.9136786188579,36.10090440361762,50.775999999999996,43.64420758786956,91.17,79.48800184862766,87.5,51.28,296,41.35,Nötr,False
CIEN,CIEN,Ciena,Information Technology,Communications Equipment,321.0,45520535552.0,504.12775,520.0,325.0,660.0,57.05,20.0,66.45,156.67,-51.19,209.41,106.63,153.98,3,27.72023,18.08,11.57999,1.54,39.5,2383.3,14.11,7.87,15.46,0.48,-34.25,9.12,174.55,71.5,-49.37,321.0,549.4,71.15,65.53,98.6,STRONG,2026-09-07,2027-09-07,30.87813131037494,71.03076412305649,85.372,46.194824961948235,0.0,20.591740413204743,100.0,51.23,297,41.15,Nötr,False
CCI,CCI,Crown Castle,Real Estate,Telecom Tower REITs,75.83,33137711104.0,95.07,92.5,81.0,120.0,25.37,22.0,41.02,73.92,-2.52,98.84,65.0,57.91,3,26.262566,34.23,2.88738,3.13,-4.9,-67.5,64.65,20.72,,8.31,-18.81,-14.11,-16.74,29.63,-22.84,75.83,89.33,17.81,43.36,39.28,NEUTRAL,2026-09-07,2027-09-07,54.13811420982736,67.37386949547798,40.912000000000006,34.888888888888886,74.97,40.291972281209205,93.75,51.01,298,40.85,Nötr,False
AME,AME,Ametek,Industrials,Electrical Components & Equipment,237.72,54499983360.0,278.05557,281.0,217.0,316.0,16.97,20.0,35.6,188.06,-20.89,192.96,173.38,197.84,3,24.770912,20.11,9.59674,2.74,15.0,14.2,31.8,20.04,14.56,0.73,5.09,7.42,27.33,23.26,-13.57,237.72,279.16,17.43,39.54,36.47,NEUTRAL,2026-09-07,2027-09-07,44.55998789651521,55.840383361533455,37.698,61.55429345630356,61.38,78.0602748920233,100.0,51.01,298,40.85,Nötr,False
MRVL,MRVL,Marvell Technology,Information Technology,Semiconductors,223.55,200905424896.0,284.99802,284.0,143.0,400.0,27.49,44.0,90.18,88.69,-60.33,121.54,61.05,83.47,3,33.26216,18.08,6.72085,1.2,36.5,50.0,30.16,27.93,16.52,0.47,-15.13,149.77,249.49,78.74,-48.35,223.55,394.04,76.27,63.39,99.6,STRONG,2026-09-07,2027-09-07,27.272280740053485,70.12368049472198,85.11599999999999,53.25501544977424,0.0,17.72978539666004,100.0,51.0,300,40.56,Nötr,False
SYF,SYF,Synchrony Financial,Financials,Consumer Finance,79.92,26003638272.0,89.30435,89.0,78.0,104.0,11.74,24.0,29.11,140.19,75.41,140.19,,,1,7.604078,13.34,10.51015,,0.6,3.6,0.0,35.51,20.79,,13.3,20.88,5.71,31.63,-27.61,79.92,93.84,17.42,49.68,36.07,NEUTRAL,2026-09-07,2027-09-07,69.6148738379814,51.25316501266005,41.513999999999996,43.817586600685196,55.65,55.402388607566365,87.5,50.96,301,40.36,Nötr,False
GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1038.61,302413512704.0,1141.65,1150.0,730.0,1325.0,9.92,25.0,52.12,987.49,-4.92,987.49,,,1,14.02912,13.34,74.03244,,42.5,92.3,0.0,31.04,16.9,,0.48,27.62,41.41,31.62,-19.42,1038.61,1254.36,20.77,52.25,51.9,NEUTRAL,2026-09-07,2027-09-07,43.678618857901725,38.32243328973316,52.04,69.02880345133866,85.52,48.52395314153821,87.5,50.94,302,40.16,Nötr,False
KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks,107.73,99498409984.0,127.976,126.0,105.0,166.0,18.79,22.0,47.67,98.79,-8.3,98.79,,,1,14.54547,13.34,7.40643,,7.8,40.0,0.0,12.2,7.28,,15.56,18.41,-21.0,38.81,-43.64,107.73,140.3,30.23,59.43,79.16,NEUTRAL,2026-09-07,2027-09-07,40.571049136786186,57.47406989627959,71.268,31.32475574165715,74.26,25.348908552691864,87.5,50.86,303,39.96,Nötr,False
BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,34.73,17645510656.0,35.18182,36.0,26.0,41.0,1.3,11.0,42.64,42.53,22.46,42.22,42.84,,2,10.972277,13.34,3.16525,-16.95,14.3,106.7,19.3,8.72,7.89,0.5,11.96,35.64,42.12,28.23,-19.21,34.73,44.37,27.75,58.13,74.75,NEUTRAL,2026-09-07,2027-09-07,54.58280353762255,16.027104108416435,68.102,40.49850209814249,81.09,55.40451125356523,100.0,50.83,304,39.76,Nötr,False
EQIX,EQIX,Equinix,Real Estate,Data Center REITs,1035.98,102221889536.0,1234.7241,1235.0,1060.0,1400.0,19.18,32.0,27.54,738.65,-28.7,639.9,641.54,934.51,3,55.42116,34.23,18.69286,3.69,16.7,28.8,45.84,15.48,10.73,4.93,-3.7,11.62,37.79,24.63,-13.66,1035.98,1201.6,15.99,46.53,26.25,NEUTRAL,2026-09-07,2027-09-07,42.1726427622842,73.2564930259721,34.362,53.950617283950606,49.72,79.1741999572372,100.0,50.81,305,39.56,Nötr,False
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,298.38,31160127488.0,315.14285,315.0,258.0,356.0,5.62,17.0,31.1,184.8,-38.06,203.22,240.36,110.83,3,19.584433,13.34,15.23557,2.18,22.9,50.2,38.15,26.73,26.3,-0.4,6.14,-0.48,28.36,33.2,-36.73,298.38,411.35,37.86,64.03,87.37,STRONG,2026-09-07,2027-09-07,30.905314910570485,30.320521282085128,78.034,66.33076048778777,47.86,55.313553991127826,100.0,50.8,306,39.36,Nötr,False
TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense,1162.05,64234086400.0,1522.7894,1475.0,1350.0,1972.0,31.04,22.0,40.85,917.1,-21.08,973.39,976.53,801.37,3,24.004274,20.11,48.41013,2.27,22.5,10.9,50.92,21.28,,6.03,-6.19,-10.23,-9.34,27.27,-21.87,1162.05,1355.02,16.61,45.45,29.86,NEUTRAL,2026-09-07,2027-09-07,41.52907357910132,72.50413001652007,36.096000000000004,70.56750419399114,50.35,43.25010638063209,93.75,50.72,307,39.17,Nötr,False
SHW,SHW,Sherwin-Williams,Materials,Specialty Chemicals,333.71,81010819072.0,391.0,395.5,340.0,420.0,17.17,26.0,20.46,234.2,-29.82,213.05,162.35,327.2,3,24.512121,15.65,13.61408,3.09,7.5,14.3,19.29,11.01,65.12,3.13,9.56,1.66,-7.9,27.59,-21.36,333.71,389.54,16.73,30.97,30.66,NEUTRAL,2026-09-07,2027-09-07,44.10836653386454,70.18248072992291,30.784,66.03703703703704,49.84,60.0126973629167,100.0,50.65,308,38.97,Nötr,False
